Test_Cell_ID,Lifecycle_Stage,Cycle_Number,State_of_Health_SOH,Series_Resist_R0_Ohm,Charge_Transfer_R1_Ohm,Double_Layer_Cap_C1_Farad,Time_Constant_Tau_Sec,System_Pole_sP_rad_s,System_Zero_sZ_rad_s,Steady_State_DC_Gain_Ohm,Pole_Distance_to_Instability_rad_s
2017-05-12_cell_12,Early Life,5,0.9998,0.01625,0.0189,419.61,7.9313,-0.12608,-0.27272,0.03515,0.12608
2017-05-12_cell_12,Early Life,10,0.9995,0.01626,0.01892,419.46,7.9358,-0.12601,-0.27266,0.03518,0.12601
2017-05-12_cell_12,Early Life,15,0.9992,0.01626,0.01894,419.29,7.9411,-0.12593,-0.27258,0.0352,0.12593
2017-05-12_cell_12,Early Life,20,0.9988,0.01627,0.01896,419.09,7.947,-0.12583,-0.27249,0.03523,0.12583
2017-05-12_cell_12,Early Life,25,0.9984,0.01628,0.01899,418.88,7.9532,-0.12574,-0.2724,0.03526,0.12574
2017-05-12_cell_12,Early Life,30,0.998,0.01628,0.01901,418.66,7.96,-0.12563,-0.27231,0.0353,0.12563
2017-05-12_cell_12,Early Life,35,0.9975,0.01629,0.01904,418.43,7.9669,-0.12552,-0.27221,0.03533,0.12552
2017-05-12_cell_12,Early Life,40,0.9971,0.0163,0.01907,418.18,7.9742,-0.1254,-0.2721,0.03537,0.1254
2017-05-12_cell_12,Early Life,45,0.9966,0.01631,0.0191,417.93,7.9818,-0.12528,-0.272,0.03541,0.12528
2017-05-12_cell_12,Early Life,50,0.9961,0.01632,0.01913,417.67,7.9895,-0.12516,-0.27189,0.03545,0.12516
2017-05-12_cell_12,Early Life,55,0.9956,0.01633,0.01916,417.4,7.9975,-0.12504,-0.27177,0.03549,0.12504
2017-05-12_cell_12,Early Life,60,0.995,0.01634,0.01919,417.12,8.0059,-0.12491,-0.27166,0.03553,0.12491
2017-05-12_cell_12,Early Life,65,0.9945,0.01635,0.01923,416.84,8.0142,-0.12478,-0.27154,0.03557,0.12478
2017-05-12_cell_12,Early Life,70,0.9939,0.01636,0.01926,416.54,8.023,-0.12464,-0.27142,0.03562,0.12464
2017-05-12_cell_12,Early Life,75,0.9934,0.01637,0.0193,416.25,8.0316,-0.12451,-0.2713,0.03566,0.12451
2017-05-12_cell_12,Early Life,80,0.9928,0.01638,0.01933,415.95,8.0405,-0.12437,-0.27117,0.03571,0.12437
2017-05-12_cell_12,Early Life,85,0.9922,0.01639,0.01937,415.62,8.0499,-0.12422,-0.27104,0.03576,0.12422
2017-05-12_cell_12,Early Life,90,0.9916,0.0164,0.0194,415.32,8.0589,-0.12409,-0.27092,0.0358,0.12409
2017-05-12_cell_12,Early Life,95,0.991,0.01641,0.01944,414.99,8.0683,-0.12394,-0.27079,0.03585,0.12394
2017-05-12_cell_12,Early Life,100,0.9904,0.01642,0.01948,414.68,8.0775,-0.1238,-0.27067,0.0359,0.1238
2017-05-12_cell_12,Early Life,105,0.9897,0.01643,0.01952,414.34,8.0872,-0.12365,-0.27053,0.03595,0.12365
2017-05-12_cell_12,Early Life,110,0.9891,0.01644,0.01956,414.0,8.0971,-0.1235,-0.2704,0.036,0.1235
2017-05-12_cell_12,Early Life,115,0.9885,0.01645,0.0196,413.68,8.1066,-0.12336,-0.27027,0.03605,0.12336
