Test_Cell_ID,Lifecycle_Stage,Cycle_Number,State_of_Health_SOH,Series_Resist_R0_Ohm,Charge_Transfer_R1_Ohm,Double_Layer_Cap_C1_Farad,Time_Constant_Tau_Sec,System_Pole_sP_rad_s,System_Zero_sZ_rad_s,Steady_State_DC_Gain_Ohm,Pole_Distance_to_Instability_rad_s
2017-05-12_cell_12,Early Life (Fresh),51,0.985,0.01652,0.01981,411.85,8.1588,-0.12257,-0.26958,0.03633,0.12257
2017-05-12_cell_12,Mid Life (Stable),516,0.91,0.01786,0.02441,372.5,9.0943,-0.10996,-0.2603,0.04227,0.10996
2017-05-12_cell_12,End of Life (Aged),1032,0.8,0.01982,0.03117,314.79,9.8111,-0.10193,-0.26218,0.05099,0.10193
2017-05-12_cell_15,Early Life (Fresh),47,0.985,0.01614,0.01973,425.56,8.3961,-0.1191,-0.26465,0.03587,0.1191
2017-05-12_cell_15,Mid Life (Stable),471,0.91,0.01746,0.02432,384.9,9.359,-0.10685,-0.25569,0.04177,0.10685
2017-05-12_cell_15,End of Life (Aged),942,0.8,0.01938,0.03104,325.27,10.0966,-0.09904,-0.2577,0.05042,0.09904
2017-06-30_cell_23,Early Life (Fresh),39,0.985,0.01603,0.02038,395.49,8.0607,-0.12406,-0.28184,0.03641,0.12406
2017-06-30_cell_23,Mid Life (Stable),397,0.91,0.01733,0.02512,357.71,8.985,-0.1113,-0.27265,0.04244,0.1113
2017-06-30_cell_23,End of Life (Aged),794,0.8,0.01923,0.03207,302.29,9.6932,-0.10317,-0.27516,0.0513,0.10317
2017-06-30_cell_28,Early Life (Fresh),39,0.985,0.01639,0.01832,376.92,6.9056,-0.14481,-0.30671,0.03471,0.14481
2017-06-30_cell_28,Mid Life (Stable),391,0.91,0.01772,0.02258,340.91,7.6975,-0.12991,-0.29548,0.0403,0.12991
2017-06-30_cell_28,End of Life (Aged),782,0.8,0.01967,0.02882,288.09,8.3042,-0.12042,-0.29691,0.04849,0.12042
2018-04-12_cell_03,Early Life (Fresh),34,0.985,0.01575,0.02019,388.95,7.8528,-0.12734,-0.29059,0.03594,0.12734
2018-04-12_cell_03,Mid Life (Stable),340,0.91,0.01703,0.02488,351.79,8.7533,-0.11424,-0.28119,0.04191,0.11424
2018-04-12_cell_03,End of Life (Aged),680,0.8,0.0189,0.03176,297.28,9.4432,-0.1059,-0.28385,0.05067,0.1059
2018-04-12_cell_08,Early Life (Fresh),33,0.985,0.01701,0.01974,403.31,7.96,-0.12563,-0.27141,0.03675,0.12563
2018-04-12_cell_08,Mid Life (Stable),339,0.91,0.01839,0.02432,364.77,8.8728,-0.1127,-0.26178,0.04271,0.1127
2018-04-12_cell_08,End of Life (Aged),679,0.8,0.02041,0.03105,308.26,9.5721,-0.10447,-0.26338,0.05147,0.10447
2018-04-12_cell_19,Early Life (Fresh),44,0.985,0.01599,0.02002,385.37,7.7149,-0.12962,-0.29193,0.03601,0.12962
2018-04-12_cell_19,Mid Life (Stable),447,0.91,0.01728,0.02467,348.55,8.5996,-0.11629,-0.28227,0.04196,0.11629
2018-04-12_cell_19,End of Life (Aged),895,0.8,0.01919,0.0315,294.55,9.2773,-0.10779,-0.28472,0.05068,0.10779
2018-08-28_cell_04,Early Life (Fresh),53,0.985,0.01596,0.01968,393.46,7.7438,-0.12914,-0.28839,0.03564,0.12914
2018-08-28_cell_04,Mid Life (Stable),536,0.91,0.01725,0.02426,355.86,8.6318,-0.11585,-0.27871,0.04151,0.11585
2018-08-28_cell_04,End of Life (Aged),1072,0.8,0.01915,0.03096,300.73,9.3121,-0.10739,-0.281,0.05012,0.10739
2018-08-28_cell_11,Early Life (Fresh),35,0.985,0.01626,0.01904,414.42,7.8901,-0.12674,-0.27517,0.0353,0.12674
2018-08-28_cell_11,Mid Life (Stable),351,0.91,0.01758,0.02346,374.83,8.7948,-0.1137,-0.26549,0.04104,0.1137
2018-08-28_cell_11,End of Life (Aged),703,0.8,0.01951,0.02995,316.75,9.488,-0.1054,-0.2672,0.04947,0.1054
2018-08-28_cell_22,Early Life (Fresh),43,0.985,0.01637,0.01828,382.76,6.9977,-0.1429,-0.3025,0.03465,0.1429
2018-08-28_cell_22,Mid Life (Stable),436,0.91,0.0177,0.02253,346.19,7.8002,-0.1282,-0.29141,0.04023,0.1282
2018-08-28_cell_22,End of Life (Aged),873,0.8,0.01965,0.02876,292.56,8.4149,-0.11884,-0.29281,0.04841,0.11884
